team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
San Antonio Spurs,27.3,57,25,62,20,7.22,0.29,7.51,102.2,94.1,+8.1,89.2,.322,.177,.511,,.473,14.1,29.5,.219,,.433,14.8
Detroit Pistons,27.4,54,28,59,23,5.84,-0.81,5.04,102.0,95.4,+6.6,87.9,.328,.153,.511,,.461,14.7,30.1,.247,,.441,15.5
Indiana Pacers,27.1,61,21,58,24,5.76,-0.82,4.93,103.8,97.2,+6.6,87.5,.319,.203,.520,,.471,14.1,28.5,.243,,.459,15.7
Minnesota Timberwolves,29.7,58,24,57,25,5.49,0.37,5.86,105.9,99.7,+6.2,89.0,.265,.137,.528,,.486,12.4,26.7,.207,,.444,12.9
Sacramento Kings,29.3,55,27,55,27,5.01,0.40,5.41,110.3,104.9,+5.4,92.8,.305,.223,.554,,.507,13.0,26.0,.242,,.483,13.7
Dallas Mavericks,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,+4.7,93.2,.256,.201,.536,,.495,11.1,31.4,.204,,.498,13.9
Los Angeles Lakers,29.8,56,26,52,30,3.90,0.45,4.35,105.5,101.3,+4.2,92.3,.352,.167,.522,,.481,12.8,28.1,.244,,.471,14.3
New Jersey Nets,27.7,47,35,49,33,2.50,-0.63,1.88,100.8,98.0,+2.8,89.4,.291,.176,.515,,.471,14.4,25.9,.219,,.460,15.7
Memphis Grizzlies,26.0,50,32,48,34,2.44,0.52,2.95,104.8,102.2,+2.6,91.4,.322,.197,.522,,.479,13.9,29.5,.234,,.465,15.7
Houston Rockets,28.3,45,37,47,35,1.73,0.55,2.28,100.9,99.0,+1.9,87.8,.286,.227,.528,,.484,16.4,26.5,.221,,.447,13.1
Denver Nuggets,25.6,43,39,44,38,1.07,0.58,1.65,103.9,102.7,+1.2,93.3,.319,.146,.517,,.467,14.2,30.5,.245,,.481,15.6
Milwaukee Bucks,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,+1.1,91.6,.330,.172,.528,,.477,12.7,27.6,.255,,.485,13.3
Miami Heat,26.4,42,40,43,39,0.52,-0.65,-0.13,102.2,101.7,+0.5,88.0,.298,.211,.510,,.463,13.5,27.4,.227,,.463,14.5
New Orleans Hornets,30.3,41,41,41,41,-0.10,-0.62,-0.72,102.3,102.4,-0.1,89.1,.293,.252,.505,,.460,14.1,30.6,.220,,.476,15.0
Seattle SuperSonics,26.0,37,45,39,43,-0.63,0.66,0.02,107.3,108.0,-0.7,89.9,.270,.294,.540,,.501,13.9,27.2,.207,,.487,13.9
Golden State Warriors,28.1,37,45,39,43,-0.73,0.66,-0.07,103.0,103.8,-0.8,89.8,.311,.197,.517,,.475,14.1,28.4,.226,,.476,13.3
Portland Trail Blazers,27.6,41,41,37,45,-1.27,0.69,-0.58,103.7,105.1,-1.4,86.2,.267,.170,.515,,.478,14.4,31.2,.195,,.482,13.3
Utah Jazz,24.9,42,40,37,45,-1.22,0.69,-0.53,101.9,103.3,-1.4,86.6,.356,.127,.509,,.456,16.1,34.1,.266,,.468,15.4
Boston Celtics,26.4,36,46,37,45,-1.45,-0.54,-1.99,102.1,103.7,-1.6,93.2,.327,.249,.532,,.486,15.4,25.2,.245,,.479,15.7
New York Knicks,29.6,39,43,36,46,-1.48,-0.49,-1.97,101.7,103.3,-1.6,89.5,.266,.171,.518,,.474,15.1,28.0,.211,,.461,13.2
Philadelphia 76ers,27.5,33,49,33,49,-2.49,-0.46,-2.95,99.1,101.9,-2.8,88.0,.321,.158,.505,,.456,15.5,28.2,.242,,.467,14.7
Cleveland Cavaliers,24.9,35,47,33,49,-2.62,-0.44,-3.07,101.4,104.2,-2.8,90.8,.301,.116,.498,,.451,13.7,31.1,.226,,.469,12.3
Toronto Raptors,27.6,33,49,31,51,-3.01,-0.40,-3.42,97.0,100.4,-3.4,86.8,.260,.204,.495,,.454,14.1,23.8,.195,,.449,14.1
Phoenix Suns,24.4,29,53,30,52,-3.74,0.80,-2.94,101.4,105.5,-4.1,92.6,.280,.180,.515,,.475,14.3,26.6,.209,,.482,14.7
Los Angeles Clippers,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5.0,91.0,.350,.156,.512,,.453,15.0,32.8,.275,,.494,12.9
Atlanta Hawks,26.2,28,54,28,54,-4.65,-0.36,-5.00,101.0,106.1,-5.1,90.8,.303,.191,.514,,.465,15.4,28.6,.235,,.476,13.1
Washington Wizards,24.4,25,57,25,57,-5.63,-0.48,-6.12,98.8,104.8,-6.0,92.2,.337,.194,.500,,.454,16.0,30.7,.241,,.486,14.9
Chicago Bulls,26.8,23,59,23,59,-6.35,-0.33,-6.69,96.6,103.4,-6.8,92.2,.272,.186,.486,,.446,14.9,28.1,.197,,.469,14.1
Orlando Magic,25.8,21,61,22,60,-7.02,-0.23,-7.25,102.7,110.4,-7.7,90.8,.296,.184,.504,,.461,12.8,28.1,.218,,.502,12.7
