,ff_off,,ff_def,,team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,arena_name,attendance,attendance_per_g
,,,,,Oklahoma City Thunder,24.7,60,12,60,12,12.94,-0.10,12.84,120.1,107.1,+13.0,99.7,.218,.420,.591,.559,10.5,24.4,.179,.511,15.0,74.4,.211,Paycom Center,"645,614","17,934"
,,,,,Cleveland Cavaliers,26.7,58,14,56,16,10.40,-0.97,9.44,122.3,111.9,+10.4,99.8,.244,.455,.611,.580,11.5,25.5,.192,.528,12.8,74.9,.181,Rocket Arena,"680,120","19,432"
,,,,,Boston Celtics,28.9,53,19,54,18,8.82,-0.56,8.26,120.4,111.3,+9.1,96.2,.217,.536,.592,.562,10.7,25.0,.173,.525,11.8,76.1,.156,TD Garden,"689,616","19,156"
,,,,,Memphis Grizzlies,24.7,44,28,47,25,5.64,-0.38,5.26,118.2,112.7,+5.5,103.4,.253,.401,.588,.555,13.2,29.5,.198,.534,13.1,74.5,.203,FedEx Forum,"595,518","16,542"
,,,,,Houston Rockets,24.9,47,26,47,26,4.48,0.40,4.88,114.7,110.2,+4.5,98.5,.249,.384,.549,.517,11.9,31.9,.184,.524,12.8,75.8,.187,Toyota Center,"662,688","17,439"
,,,,,New York Knicks,27.4,45,26,45,26,4.32,-0.82,3.50,118.7,114.3,+4.4,97.2,.233,.381,.590,.557,11.8,25.8,.187,.548,13.0,74.6,.175,Madison Square Garden (IV),"693,420","19,812"
,,,,,Minnesota Timberwolves,27.2,41,32,46,27,4.23,0.38,4.61,115.7,111.4,+4.3,97.6,.249,.457,.586,.551,13.0,25.2,.197,.532,13.3,74.8,.179,Target Center,"696,337","18,820"
,,,,,Denver Nuggets,26.9,45,28,44,29,3.68,-0.03,3.66,119.9,116.3,+3.6,99.9,.253,.354,.603,.572,12.5,27.1,.196,.543,11.4,74.4,.176,Ball Arena,"692,267","19,779"
,,,,,Los Angeles Clippers,29.6,40,31,43,28,3.31,0.24,3.55,113.8,110.4,+3.4,97.6,.253,.390,.583,.547,13.7,24.6,.201,.536,13.7,76.9,.188,Intuit Dome,"590,776","16,410"
,,,,,Detroit Pistons,25.8,41,32,42,31,2.58,-0.71,1.86,114.9,112.3,+2.6,99.9,.246,.392,.582,.550,13.3,26.3,.191,.538,13.4,76.7,.212,Little Caesars Arena,"682,473","18,958"
,,,,,Milwaukee Bucks,29.5,40,31,41,30,2.32,-0.30,2.03,114.9,112.6,+2.3,99.4,.264,.426,.592,.561,12.2,19.7,.198,.529,11.5,76.6,.179,Fiserv Forum,"627,249","17,432"
,,,,,Golden State Warriors,28.6,41,31,41,31,2.03,0.32,2.35,114.1,112.0,+2.1,98.9,.239,.465,.564,.533,12.3,27.1,.181,.541,13.8,75.8,.191,Chase Center,"668,368","18,064"
,,,,,Indiana Pacers,25.8,42,29,39,32,1.42,-0.54,0.88,115.9,114.5,+1.4,99.8,.239,.397,.594,.562,12.1,21.0,.189,.546,13.1,74.2,.194,Gainbridge Fieldhouse,"568,329","16,739"
,,,,,Los Angeles Lakers,27.9,43,28,37,34,0.70,-0.13,0.57,115.1,114.3,+0.8,97.7,.271,.419,.589,.553,12.7,23.2,.212,.537,12.2,74.8,.181,Crypto.com Arena,"691,638","18,693"
,,,,,Sacramento Kings,27.7,35,37,36,36,0.18,0.21,0.39,116.4,116.2,+0.2,98.6,.236,.394,.581,.546,11.8,25.2,.190,.557,12.6,77.0,.202,Golden 1 Center,"629,310","17,008"
,,,,,Dallas Mavericks,27.5,35,38,36,37,-0.33,0.53,0.21,115.6,116.0,-0.4,99.2,.260,.396,.585,.551,12.4,23.7,.202,.540,11.7,73.0,.180,American Airlines Center,"722,389","20,066"
,,,,,Phoenix Suns,29.3,35,37,34,38,-1.04,-0.20,-1.24,116.9,117.9,-1.0,97.2,.250,.438,.600,.565,12.8,22.3,.203,.543,10.8,74.1,.192,Footprint Center,"614,556","17,071"
,,,,,Orlando Magic,24.9,35,38,34,39,-1.01,-0.56,-1.57,108.9,110.0,-1.1,96.2,.272,.411,.546,.506,12.8,25.3,.211,.540,15.0,77.2,.227,Kia Center,"670,510","18,625"
,,,,,Miami Heat,26.9,31,41,34,38,-1.08,-0.05,-1.13,112.2,113.3,-1.1,96.1,.237,.435,.574,.540,12.7,21.6,.187,.542,12.4,75.4,.157,Kaseya Center,"709,535","19,709"
,,,,,Atlanta Hawks,25.0,35,37,32,40,-1.78,-0.05,-1.82,113.7,115.4,-1.7,102.9,.254,.405,.575,.541,13.3,26.2,.197,.559,13.9,75.9,.200,State Farm Arena,"590,245","16,396"
,,,,,San Antonio Spurs,26.0,31,40,31,40,-1.92,-0.06,-1.98,114.8,116.8,-2.0,99.2,.236,.440,.576,.545,12.3,24.8,.183,.549,12.0,73.0,.158,Frost Bank Center,"639,981","17,928"
,,,,,Chicago Bulls,25.2,32,40,31,41,-2.43,-0.11,-2.54,113.7,116.1,-2.4,102.7,.210,.462,.583,.552,12.6,21.8,.170,.541,10.8,76.2,.181,United Center,"699,171","19,976"
,,,,,Portland Trail Blazers,23.9,32,41,29,44,-3.27,0.56,-2.72,112.1,115.4,-3.3,98.5,.247,.418,.558,.524,13.8,28.9,.189,.544,13.3,72.4,.205,Moda Center,"662,771","17,441"
,,,,,Toronto Raptors,24.6,25,47,25,47,-5.32,0.44,-4.88,110.3,115.6,-5.3,99.4,.242,.369,.554,.522,13.6,27.5,.182,.542,12.8,73.7,.224,Scotiabank Arena,"691,458","18,688"
,,,,,Philadelphia 76ers,27.6,23,49,24,48,-5.64,0.20,-5.44,112.3,118.1,-5.8,97.2,.261,.426,.566,.529,12.2,23.1,.205,.572,14.6,72.0,.198,Wells Fargo Center,"674,658","19,843"
,,,,,Brooklyn Nets,24.9,23,49,22,50,-6.24,0.34,-5.90,109.1,115.5,-6.4,96.0,.241,.453,.553,.517,13.7,25.2,.190,.556,13.9,74.7,.215,Barclays Center,"591,773","17,405"
,,,,,Utah Jazz,24.0,16,57,20,53,-8.19,0.62,-7.57,111.3,119.5,-8.2,99.9,.257,.447,.570,.536,15.2,27.1,.198,.554,10.2,74.5,.188,Delta Center,"690,650","18,175"
,,,,,Charlotte Hornets,25.1,18,54,19,53,-8.17,0.03,-8.14,107.9,116.3,-8.4,97.6,.219,.434,.538,.504,13.5,27.0,.173,.547,12.2,74.5,.197,Spectrum Center,"638,005","17,243"
,,,,,New Orleans Pelicans,25.9,20,53,19,54,-8.64,0.80,-7.85,111.1,119.8,-8.7,99.0,.245,.387,.555,.522,12.7,26.5,.185,.565,12.5,72.2,.185,Smoothie King Center,"601,368","16,705"
,,,,,Washington Wizards,23.7,15,56,13,58,-11.94,0.46,-11.49,106.8,118.5,-11.7,101.4,.232,.436,.546,.511,13.8,23.1,.181,.547,11.5,72.5,.203,Capital One Arena,"566,843","16,074"
