team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_game,off_rtg,def_rtg,reached_finals,champion
Milwaukee Bucks,82,19780,41.0,89.5,0.458,7.4,19.5,0.379,33.6,70.0,0.48,19.4,24.7,0.787,12.8,32.9,45.8,24.3,8.8,5.1,14.8,25.4,108.8,100.7,108.8,104.6,0,0
Los Angeles Lakers,82,19905,40.9,87.9,0.465,5.8,16.8,0.344,35.1,71.1,0.494,20.9,30.7,0.683,14.3,33.9,48.2,24.8,7.4,6.4,15.6,24.6,108.4,100.6,108.4,104.8,1,1
Utah Jazz,82,19780,40.0,85.0,0.471,4.4,11.5,0.381,35.6,73.5,0.485,23.2,30.8,0.752,12.7,32.2,45.0,28.5,8.9,6.3,17.5,28.5,107.6,97.1,107.6,102.4,0,0
Dallas Mavericks,82,19805,40.1,87.3,0.459,6.7,17.6,0.381,33.4,69.7,0.479,20.2,25.4,0.794,10.8,33.4,44.2,22.6,8.0,6.4,14.8,24.8,107.1,100.5,107.1,102.6,0,0
Houston Rockets,82,19830,39.4,86.9,0.453,6.7,18.9,0.357,32.7,68.0,0.48,21.2,27.9,0.758,12.3,33.8,46.1,21.6,7.9,4.8,16.1,22.2,106.7,97.2,106.7,104.2,0,0
San Antonio Spurs,82,19830,39.0,84.6,0.461,6.0,14.8,0.407,33.0,69.8,0.472,22.6,31.6,0.715,12.2,36.6,48.8,24.0,7.7,7.8,15.5,21.0,106.6,96.2,106.6,98.0,0,0
Portland Trail Blazers,82,19780,40.9,87.3,0.468,5.0,14.4,0.349,35.9,73.0,0.492,19.7,25.8,0.762,13.1,33.8,46.8,26.7,9.1,5.7,17.1,23.8,106.5,95.4,106.5,101.8,0,0
Toronto Raptors,82,19955,40.3,92.2,0.437,5.7,15.4,0.369,34.6,76.8,0.451,19.6,26.2,0.747,14.8,33.4,48.2,26.5,7.9,6.9,14.3,23.1,105.9,97.6,105.9,103.4,0,0
Sacramento Kings,82,20080,39.7,88.2,0.449,6.1,17.1,0.354,33.6,71.1,0.472,20.3,26.3,0.771,12.5,34.2,46.7,23.4,10.0,5.5,15.5,20.2,105.6,101.7,105.6,99.6,0,0
Seattle SuperSonics,82,19805,40.1,88.0,0.456,6.2,15.5,0.399,33.9,72.5,0.468,19.2,26.3,0.732,13.2,32.1,45.3,23.7,8.7,5.4,16.6,22.9,105.6,97.3,105.6,105.6,0,0
Minnesota Timberwolves,82,19830,41.5,90.5,0.458,4.2,11.9,0.357,37.2,78.7,0.473,18.0,22.9,0.785,13.2,32.6,45.8,27.5,9.0,6.0,15.0,25.0,105.2,97.3,105.2,103.7,0,0
Denver Nuggets,82,19780,39.0,90.1,0.433,6.7,18.9,0.355,32.3,71.2,0.454,19.0,25.7,0.737,13.7,33.8,47.5,25.8,7.2,7.0,14.9,23.8,103.7,96.6,103.7,106.3,0,0
Philadelphia 76ers,82,19855,38.7,86.6,0.447,3.5,10.7,0.326,35.2,75.8,0.464,22.6,30.4,0.745,14.3,34.7,49.0,22.6,9.2,5.4,17.2,22.3,103.6,94.7,103.6,98.9,1,0
Orlando Magic,82,19955,38.9,88.7,0.438,6.3,17.4,0.364,32.6,71.4,0.456,19.1,26.7,0.714,13.8,31.6,45.4,23.3,8.7,6.2,16.1,26.7,103.2,97.5,103.2,102.1,0,0
Indiana Pacers,82,19980,38.0,86.4,0.44,5.3,15.6,0.342,32.7,70.8,0.461,20.7,27.0,0.766,12.4,34.9,47.2,23.7,7.6,6.5,16.7,25.9,102.0,92.6,102.0,102.2,0,0
Charlotte Hornets,82,19880,37.8,87.8,0.431,4.6,13.3,0.346,33.2,74.5,0.446,21.6,29.0,0.745,13.9,35.2,49.2,25.7,9.0,6.1,16.0,23.7,101.8,91.9,101.8,99.5,0,0
Boston Celtics,82,19830,36.3,84.8,0.428,7.7,21.3,0.363,28.5,63.4,0.45,21.2,28.6,0.74,11.7,30.9,42.7,22.3,10.1,4.4,16.8,25.5,101.4,94.6,101.4,103.7,0,0
Los Angeles Clippers,82,20030,38.7,86.4,0.448,4.8,14.2,0.339,33.9,72.2,0.469,19.1,27.5,0.693,12.9,34.2,47.1,21.2,6.5,6.9,17.3,23.7,101.3,92.5,101.3,104.5,0,0
New York Knicks,82,19905,38.3,86.2,0.444,5.4,15.5,0.351,32.9,70.7,0.465,19.1,24.0,0.796,10.8,35.1,45.9,21.1,7.6,4.8,16.5,25.9,101.2,88.7,101.2,98.2,0,0
Miami Heat,82,19880,37.4,86.8,0.43,6.6,19.2,0.345,30.7,67.6,0.455,19.7,26.0,0.759,11.3,33.8,45.0,22.6,8.8,4.2,15.6,23.9,101.1,88.9,101.1,98.5,0,0
Washington Wizards,82,19680,37.3,84.9,0.439,3.6,11.2,0.324,33.7,73.8,0.456,22.4,29.5,0.759,13.4,31.2,44.6,21.7,8.3,5.0,18.3,25.2,100.6,93.2,100.6,107.8,0,0
Phoenix Suns,82,19805,38.3,87.9,0.436,4.3,13.7,0.315,34.0,74.2,0.458,19.4,25.7,0.755,12.6,32.9,45.5,24.8,10.1,5.6,16.3,24.3,100.3,94.0,100.3,98.0,0,0
Cleveland Cavaliers,82,19830,38.3,86.7,0.442,2.9,8.7,0.334,35.4,77.9,0.455,20.7,27.1,0.765,13.5,32.4,45.8,22.7,8.5,5.8,17.9,25.3,100.3,92.2,100.3,104.9,0,0
New Jersey Nets,82,19730,36.8,86.8,0.425,4.8,14.4,0.333,32.1,72.4,0.443,21.6,28.4,0.759,12.0,31.0,43.0,21.2,8.6,5.4,16.0,26.3,100.0,92.1,100.0,105.5,0,0
