winner_team,winner_wins,winner_conference,winner_pg_g,winner_pg_mp,winner_pg_fg,winner_pg_fga,winner_pg_fg_pct,winner_pg_fg3,winner_pg_fg3a,winner_pg_fg3_pct,winner_pg_fg2,winner_pg_fg2a,winner_pg_fg2_pct,winner_pg_ft,winner_pg_fta,winner_pg_ft_pct,winner_pg_orb,winner_pg_drb,winner_pg_trb,winner_pg_ast,winner_pg_stl,winner_pg_blk,winner_pg_tov,winner_pg_pf,winner_pg_pts,winner_adv_age,winner_adv_wins,winner_adv_losses,winner_adv_wins_pyth,winner_adv_losses_pyth,winner_adv_mov,winner_adv_sos,winner_adv_srs,winner_adv_off_rtg,winner_adv_def_rtg,winner_adv_net_rtg,winner_adv_pace,winner_adv_fta_per_fga_pct,winner_adv_fg3a_per_fga_pct,winner_adv_ts_pct,winner_adv_efg_pct,winner_adv_tov_pct,winner_adv_orb_pct,winner_adv_ft_rate,winner_adv_opp_efg_pct,winner_adv_opp_tov_pct,winner_adv_drb_pct,winner_adv_opp_ft_rate,winner_pp_g,winner_pp_mp,winner_pp_fg,winner_pp_fga,winner_pp_fg_pct,winner_pp_fg3,winner_pp_fg3a,winner_pp_fg3_pct,winner_pp_fg2,winner_pp_fg2a,winner_pp_fg2_pct,winner_pp_ft,winner_pp_fta,winner_pp_ft_pct,winner_pp_orb,winner_pp_drb,winner_pp_trb,winner_pp_ast,winner_pp_stl,winner_pp_blk,winner_pp_tov,winner_pp_pf,winner_pp_pts,winner_sh_g,winner_sh_mp,winner_sh_fg_pct,winner_sh_avg_dist,winner_sh_pct_fga_fg2a,winner_sh_pct_fga_00_03,winner_sh_pct_fga_03_10,winner_sh_pct_fga_10_16,winner_sh_pct_fga_16_xx,winner_sh_pct_fga_fg3a,winner_sh_fg_pct_fg2a,winner_sh_fg_pct_00_03,winner_sh_fg_pct_03_10,winner_sh_fg_pct_10_16,winner_sh_fg_pct_16_xx,winner_sh_fg_pct_fg3a,winner_sh_pct_ast_fg2,winner_sh_pct_ast_fg3,winner_sh_pct_fga_dunk,winner_sh_fg_dunk,winner_sh_pct_fga_layup,winner_sh_fg_layup,winner_sh_pct_fg3a_corner,winner_sh_fg3_pct_corner,winner_sh_fg3a_heave,winner_sh_fg3_heave,loser_team,loser_wins,loser_conference,loser_pg_g,loser_pg_mp,loser_pg_fg,loser_pg_fga,loser_pg_fg_pct,loser_pg_fg3,loser_pg_fg3a,loser_pg_fg3_pct,loser_pg_fg2,loser_pg_fg2a,loser_pg_fg2_pct,loser_pg_ft,loser_pg_fta,loser_pg_ft_pct,loser_pg_orb,loser_pg_drb,loser_pg_trb,loser_pg_ast,loser_pg_stl,loser_pg_blk,loser_pg_tov,loser_pg_pf,loser_pg_pts,loser_adv_age,loser_adv_wins,loser_adv_losses,loser_adv_wins_pyth,loser_adv_losses_pyth,loser_adv_mov,loser_adv_sos,loser_adv_srs,loser_adv_off_rtg,loser_adv_def_rtg,loser_adv_net_rtg,loser_adv_pace,loser_adv_fta_per_fga_pct,loser_adv_fg3a_per_fga_pct,loser_adv_ts_pct,loser_adv_efg_pct,loser_adv_tov_pct,loser_adv_orb_pct,loser_adv_ft_rate,loser_adv_opp_efg_pct,loser_adv_opp_tov_pct,loser_adv_drb_pct,loser_adv_opp_ft_rate,loser_pp_g,loser_pp_mp,loser_pp_fg,loser_pp_fga,loser_pp_fg_pct,loser_pp_fg3,loser_pp_fg3a,loser_pp_fg3_pct,loser_pp_fg2,loser_pp_fg2a,loser_pp_fg2_pct,loser_pp_ft,loser_pp_fta,loser_pp_ft_pct,loser_pp_orb,loser_pp_drb,loser_pp_trb,loser_pp_ast,loser_pp_stl,loser_pp_blk,loser_pp_tov,loser_pp_pf,loser_pp_pts,loser_sh_g,loser_sh_mp,loser_sh_fg_pct,loser_sh_avg_dist,loser_sh_pct_fga_fg2a,loser_sh_pct_fga_00_03,loser_sh_pct_fga_03_10,loser_sh_pct_fga_10_16,loser_sh_pct_fga_16_xx,loser_sh_pct_fga_fg3a,loser_sh_fg_pct_fg2a,loser_sh_fg_pct_00_03,loser_sh_fg_pct_03_10,loser_sh_fg_pct_10_16,loser_sh_fg_pct_16_xx,loser_sh_fg_pct_fg3a,loser_sh_pct_ast_fg2,loser_sh_pct_ast_fg3,loser_sh_pct_fga_dunk,loser_sh_fg_dunk,loser_sh_pct_fga_layup,loser_sh_fg_layup,loser_sh_pct_fg3a_corner,loser_sh_fg3_pct_corner,loser_sh_fg3a_heave,loser_sh_fg3_heave,round,series_result,winner,loser
los angeles lakers,58,Western,82,241.2,38.4,83.4,0.461,6.2,17.5,0.354,32.2,65.9,0.489,18.2,26.1,0.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.0,0.498,11.8,28.8,0.218,0.0,0.453,13.0,82,19780,41.5,90.1,0.461,6.7,19.0,0.354,34.8,71.2,0.489,19.7,28.2,0.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4,82,19780,0.461,12.3,0.0,0.79,0.28,0.167,0.137,0.206,0.21,0.0,0.489,0.657,0.414,0.403,0.379,0.354,0.0,0.539,0.902,0.0,0.078,489,0.0,0.178,brooklyn nets,52,Eastern,82,241.8,37.1,83.1,0.446,4.9,14.6,0.338,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2,26.1,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,0.0,0.476,13.4,29.2,0.206,0.0,0.459,14.9,82,19830,40.1,89.9,0.446,5.3,15.7,0.338,34.8,74.1,0.469,18.5,25.1,0.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0,82,19830,0.446,11.6,0.0,0.825,0.327,0.135,0.133,0.23,0.175,0.0,0.469,0.61,0.382,0.361,0.383,0.338,0.0,0.62,0.876,0.0,0.077,463,0.0,0.217,Finals,4-0,los angeles lakers,brooklyn nets
brooklyn nets,52,Eastern,82,241.8,37.1,83.1,0.446,4.9,14.6,0.338,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2,26.1,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,0.0,0.476,13.4,29.2,0.206,0.0,0.459,14.9,82,19830,40.1,89.9,0.446,5.3,15.7,0.338,34.8,74.1,0.469,18.5,25.1,0.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0,82,19830,0.446,11.6,0.0,0.825,0.327,0.135,0.133,0.23,0.175,0.0,0.469,0.61,0.382,0.361,0.383,0.338,0.0,0.62,0.876,0.0,0.077,463,0.0,0.217,boston celtics,49,Eastern,82,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,0.0,0.476,12.8,24.1,0.223,0.0,0.464,15.1,82,19830,37.3,88.1,0.424,9.1,25.5,0.359,28.2,62.6,0.45,19.6,25.6,0.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4,82,19830,0.424,13.3,0.0,0.711,0.293,0.124,0.111,0.182,0.289,0.0,0.45,0.581,0.324,0.351,0.385,0.359,0.0,0.512,0.886,0.0,0.032,204,0.0,0.255,Eastern Conference Finals,4-2,brooklyn nets,boston celtics
los angeles lakers,58,Western,82,241.2,38.4,83.4,0.461,6.2,17.5,0.354,32.2,65.9,0.489,18.2,26.1,0.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.0,0.498,11.8,28.8,0.218,0.0,0.453,13.0,82,19780,41.5,90.1,0.461,6.7,19.0,0.354,34.8,71.2,0.489,19.7,28.2,0.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4,82,19780,0.461,12.3,0.0,0.79,0.28,0.167,0.137,0.206,0.21,0.0,0.489,0.657,0.414,0.403,0.379,0.354,0.0,0.539,0.902,0.0,0.078,489,0.0,0.178,sacramento kings,61,Western,82,240.9,39.8,85.4,0.467,5.2,14.1,0.367,34.6,71.3,0.486,19.7,26.3,0.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6,27.0,61,21,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.308,0.166,0.539,0.0,0.497,12.4,27.9,0.231,0.0,0.467,13.6,82,19755,41.5,89.0,0.467,5.4,14.7,0.367,36.1,74.3,0.486,20.6,27.4,0.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0,82,19755,0.467,11.7,0.0,0.834,0.317,0.135,0.104,0.278,0.166,0.0,0.486,0.626,0.383,0.402,0.409,0.367,0.0,0.56,0.866,0.0,0.049,318,0.0,0.235,Western Conference Finals,4-3,los angeles lakers,sacramento kings
boston celtics,49,Eastern,82,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,0.0,0.476,12.8,24.1,0.223,0.0,0.464,15.1,82,19830,37.3,88.1,0.424,9.1,25.5,0.359,28.2,62.6,0.45,19.6,25.6,0.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4,82,19830,0.424,13.3,0.0,0.711,0.293,0.124,0.111,0.182,0.289,0.0,0.45,0.581,0.324,0.351,0.385,0.359,0.0,0.512,0.886,0.0,0.032,204,0.0,0.255,detroit pistons,50,Eastern,82,240.0,34.7,76.8,0.452,6.9,18.4,0.376,27.8,58.4,0.475,18.0,23.8,0.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3,29.5,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.0,0.497,14.3,24.4,0.235,0.0,0.474,14.8,82,19680,38.5,85.3,0.452,7.7,20.4,0.376,30.9,64.9,0.475,20.0,26.5,0.756,11.0,32.1,43.0,23.9,8.8,7.7,16.2,23.0,104.8,82,19680,0.452,12.7,0.0,0.76,0.283,0.124,0.146,0.207,0.24,0.0,0.475,0.613,0.42,0.356,0.404,0.376,0.0,0.555,0.884,0.0,0.048,270,0.0,0.214,Eastern Conference Semifinals,4-1,boston celtics,detroit pistons
brooklyn nets,52,Eastern,82,241.8,37.1,83.1,0.446,4.9,14.6,0.338,32.2,68.6,0.469,17.1,23.3,0.735,12.7,30.7,43.3,24.3,8.7,6.0,14.5,21.1,96.2,26.1,52,30,53,29,4.16,-0.49,3.67,104.0,99.5,4.5,91.8,0.28,0.175,0.515,0.0,0.476,13.4,29.2,0.206,0.0,0.459,14.9,82,19830,40.1,89.9,0.446,5.3,15.7,0.338,34.8,74.1,0.469,18.5,25.1,0.735,13.7,33.2,46.9,26.2,9.4,6.5,15.7,22.9,104.0,82,19830,0.446,11.6,0.0,0.825,0.327,0.135,0.133,0.23,0.175,0.0,0.469,0.61,0.382,0.361,0.383,0.338,0.0,0.62,0.876,0.0,0.077,463,0.0,0.217,charlotte hornets,44,Eastern,82,240.9,35.3,80.2,0.44,4.2,12.1,0.348,31.1,68.1,0.456,19.1,25.7,0.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9,28.3,44,38,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.151,0.513,0.0,0.466,13.3,30.6,0.238,0.0,0.465,13.3,82,19755,39.2,89.2,0.44,4.7,13.5,0.348,34.5,75.7,0.456,21.2,28.5,0.745,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3,82,19755,0.44,11.6,0.0,0.849,0.308,0.131,0.162,0.248,0.151,0.0,0.456,0.577,0.402,0.363,0.395,0.348,0.0,0.58,0.812,0.0,0.049,292,0.0,0.234,Eastern Conference Semifinals,4-1,brooklyn nets,charlotte hornets
los angeles lakers,58,Western,82,241.2,38.4,83.4,0.461,6.2,17.5,0.354,32.2,65.9,0.489,18.2,26.1,0.699,12.5,31.8,44.3,23.0,7.6,5.8,12.7,22.2,101.3,27.9,58,24,60,22,7.12,0.03,7.15,109.4,101.7,7.7,92.1,0.313,0.21,0.534,0.0,0.498,11.8,28.8,0.218,0.0,0.453,13.0,82,19780,41.5,90.1,0.461,6.7,19.0,0.354,34.8,71.2,0.489,19.7,28.2,0.699,13.5,34.3,47.8,24.8,8.2,6.3,13.7,24.0,109.4,82,19780,0.461,12.3,0.0,0.79,0.28,0.167,0.137,0.206,0.21,0.0,0.489,0.657,0.414,0.403,0.379,0.354,0.0,0.539,0.902,0.0,0.078,489,0.0,0.178,san antonio spurs,58,Western,82,242.1,35.5,77.6,0.458,5.3,14.8,0.362,30.2,62.8,0.48,20.3,27.4,0.742,11.1,31.3,42.4,20.0,7.6,6.5,14.4,19.2,96.7,28.5,58,24,59,23,6.21,0.07,6.28,106.5,99.7,6.8,90.0,0.353,0.19,0.539,0.0,0.492,13.8,27.2,0.262,0.0,0.453,13.7,82,19855,39.1,85.4,0.458,5.9,16.3,0.362,33.2,69.2,0.48,22.4,30.2,0.742,12.2,34.5,46.6,22.1,8.4,7.2,15.8,21.1,106.5,82,19855,0.458,11.2,0.0,0.81,0.314,0.166,0.177,0.153,0.19,0.0,0.48,0.643,0.407,0.369,0.356,0.362,0.0,0.507,0.886,0.0,0.061,358,0.0,0.241,Western Conference Semifinals,4-1,los angeles lakers,san antonio spurs
sacramento kings,61,Western,82,240.9,39.8,85.4,0.467,5.2,14.1,0.367,34.6,71.3,0.486,19.7,26.3,0.751,12.4,33.0,45.3,23.9,9.0,4.6,13.8,19.0,104.6,27.0,61,21,61,21,7.61,0.0,7.61,109.0,101.1,7.9,95.6,0.308,0.166,0.539,0.0,0.497,12.4,27.9,0.231,0.0,0.467,13.6,82,19755,41.5,89.0,0.467,5.4,14.7,0.367,36.1,74.3,0.486,20.6,27.4,0.751,12.9,34.3,47.2,24.9,9.4,4.8,14.3,19.8,109.0,82,19755,0.467,11.7,0.0,0.834,0.317,0.135,0.104,0.278,0.166,0.0,0.486,0.626,0.383,0.402,0.409,0.367,0.0,0.56,0.866,0.0,0.049,318,0.0,0.235,dallas mavericks,57,Western,82,242.4,39.0,84.5,0.462,7.6,20.1,0.378,31.5,64.5,0.488,19.6,24.3,0.806,11.2,31.3,42.5,22.1,7.1,4.8,12.1,22.5,105.2,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,0.0,0.507,11.3,26.1,0.232,0.0,0.485,12.9,82,19880,41.6,90.1,0.462,8.1,21.4,0.378,33.5,68.7,0.488,20.9,25.9,0.806,11.9,33.4,45.3,23.6,7.6,5.1,12.9,24.0,112.2,82,19880,0.462,12.8,0.0,0.763,0.281,0.121,0.146,0.214,0.237,0.0,0.488,0.607,0.404,0.411,0.431,0.378,0.0,0.51,0.799,0.0,0.037,232,0.0,0.228,Western Conference Semifinals,4-1,sacramento kings,dallas mavericks
boston celtics,49,Eastern,82,241.8,34.8,82.1,0.424,8.5,23.7,0.359,26.3,58.4,0.45,18.3,23.9,0.764,10.9,31.3,42.2,21.0,9.7,3.6,13.6,21.7,96.4,26.2,49,33,48,34,2.21,-0.46,1.75,103.4,101.0,2.4,92.5,0.291,0.289,0.52,0.0,0.476,12.8,24.1,0.223,0.0,0.464,15.1,82,19830,37.3,88.1,0.424,9.1,25.5,0.359,28.2,62.6,0.45,19.6,25.6,0.764,11.7,33.6,45.3,22.5,10.4,3.8,14.6,23.2,103.4,82,19830,0.424,13.3,0.0,0.711,0.293,0.124,0.111,0.182,0.289,0.0,0.45,0.581,0.324,0.351,0.385,0.359,0.0,0.512,0.886,0.0,0.032,204,0.0,0.255,philadelphia 76ers,43,Eastern,82,240.6,34.2,78.5,0.436,2.6,8.7,0.299,31.6,69.8,0.453,20.0,25.7,0.779,13.3,30.9,44.2,20.0,8.6,4.4,15.3,20.1,91.0,29.0,43,39,46,36,1.6,-0.33,1.27,102.1,100.3,1.8,88.9,0.327,0.111,0.507,0.0,0.452,14.6,31.7,0.255,0.0,0.46,14.2,82,19730,38.4,88.1,0.436,2.9,9.8,0.299,35.4,78.3,0.453,22.4,28.8,0.779,14.9,34.7,49.6,22.4,9.6,5.0,17.2,22.5,102.1,82,19730,0.436,10.8,0.0,0.889,0.304,0.149,0.217,0.218,0.111,0.0,0.453,0.592,0.395,0.345,0.405,0.299,0.0,0.558,0.897,0.0,0.024,141,0.0,0.252,Eastern Conference First Round,3-2,boston celtics,philadelphia 76ers
charlotte hornets,44,Eastern,82,240.9,35.3,80.2,0.44,4.2,12.1,0.348,31.1,68.1,0.456,19.1,25.7,0.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,93.9,28.3,44,38,44,38,0.96,-0.4,0.57,104.3,103.3,1.0,89.7,0.32,0.151,0.513,0.0,0.466,13.3,30.6,0.238,0.0,0.465,13.3,82,19755,39.2,89.2,0.44,4.7,13.5,0.348,34.5,75.7,0.456,21.2,28.5,0.745,14.3,33.9,48.3,23.8,8.8,6.2,15.6,23.7,104.3,82,19755,0.44,11.6,0.0,0.849,0.308,0.131,0.162,0.248,0.151,0.0,0.456,0.577,0.402,0.363,0.395,0.348,0.0,0.58,0.812,0.0,0.049,292,0.0,0.234,orlando magic,44,Eastern,82,241.8,37.6,84.1,0.448,7.6,20.2,0.373,30.1,63.8,0.471,17.6,23.4,0.754,11.5,29.8,41.2,22.0,8.1,4.7,13.6,20.7,100.5,28.0,44,38,46,36,1.57,-0.32,1.25,107.0,105.3,1.7,93.2,0.278,0.241,0.533,0.0,0.493,12.6,26.3,0.21,0.0,0.486,14.4,82,19830,40.1,89.5,0.448,8.1,21.6,0.373,32.0,68.0,0.471,18.8,24.9,0.754,12.2,31.7,43.9,23.4,8.6,5.0,14.5,22.1,107.0,82,19830,0.448,12.9,0.0,0.759,0.294,0.113,0.109,0.242,0.241,0.0,0.471,0.61,0.377,0.369,0.394,0.373,0.0,0.519,0.845,0.0,0.046,275,0.0,0.215,Eastern Conference First Round,3-1,charlotte hornets,orlando magic
detroit pistons,50,Eastern,82,240.0,34.7,76.8,0.452,6.9,18.4,0.376,27.8,58.4,0.475,18.0,23.8,0.756,9.9,28.9,38.7,21.5,7.9,6.9,14.5,20.7,94.3,29.5,50,32,48,34,2.13,-0.45,1.69,104.8,102.4,2.4,90.0,0.31,0.24,0.54,0.0,0.497,14.3,24.4,0.235,0.0,0.474,14.8,82,19680,38.5,85.3,0.452,7.7,20.4,0.376,30.9,64.9,0.475,20.0,26.5,0.756,11.0,32.1,43.0,23.9,8.8,7.7,16.2,23.0,104.8,82,19680,0.452,12.7,0.0,0.76,0.283,0.124,0.146,0.207,0.24,0.0,0.475,0.613,0.42,0.356,0.404,0.376,0.0,0.555,0.884,0.0,0.048,270,0.0,0.214,toronto raptors,42,Eastern,82,240.9,35.6,82.0,0.434,4.7,13.5,0.349,30.9,68.5,0.451,15.5,20.9,0.739,13.6,28.5,42.1,21.7,8.4,5.5,14.3,21.6,91.4,29.3,42,40,40,42,-0.44,-0.27,-0.71,102.6,103.1,-0.5,88.8,0.255,0.165,0.501,0.0,0.463,13.6,31.4,0.189,0.0,0.471,14.7,82,19755,40.0,92.1,0.434,5.3,15.2,0.349,34.7,76.9,0.451,17.4,23.5,0.739,15.2,32.0,47.2,24.3,9.4,6.2,16.1,24.2,102.6,82,19755,0.434,12.2,0.0,0.835,0.284,0.121,0.192,0.238,0.165,0.0,0.451,0.578,0.395,0.377,0.387,0.349,0.0,0.571,0.858,0.0,0.045,275,0.0,0.203,Eastern Conference First Round,3-2,detroit pistons,toronto raptors
