round,matchup,winner
Eastern Play-In 7v8,miami heat vs atlanta hawks,miami heat
Eastern Play-In 9v10,toronto raptors vs chicago bulls,toronto raptors
Eastern Play-In Final,atlanta hawks vs toronto raptors,atlanta hawks
Western Play-In 7v8,los angeles lakers vs minnesota timberwolves,los angeles lakers
Western Play-In 9v10,new orleans pelicans vs oklahoma city thunder,new orleans pelicans
Western Play-In Final,minnesota timberwolves vs new orleans pelicans,minnesota timberwolves
Eastern First Round,milwaukee bucks vs atlanta hawks,milwaukee bucks
Eastern First Round,cleveland cavaliers vs new york knicks,cleveland cavaliers
Eastern First Round,philadelphia 76ers vs brooklyn nets,philadelphia 76ers
Eastern First Round,boston celtics vs miami heat,boston celtics
Eastern Semifinals,milwaukee bucks vs cleveland cavaliers,milwaukee bucks
Eastern Semifinals,philadelphia 76ers vs boston celtics,philadelphia 76ers
Eastern Finals,milwaukee bucks vs philadelphia 76ers,milwaukee bucks
Western First Round,denver nuggets vs minnesota timberwolves,denver nuggets
Western First Round,phoenix suns vs golden state warriors,phoenix suns
Western First Round,sacramento kings vs los angeles clippers,sacramento kings
Western First Round,memphis grizzlies vs los angeles lakers,memphis grizzlies
Western Semifinals,denver nuggets vs phoenix suns,denver nuggets
Western Semifinals,sacramento kings vs memphis grizzlies,sacramento kings
Western Finals,denver nuggets vs sacramento kings,denver nuggets
NBA Finals,milwaukee bucks vs denver nuggets,milwaukee bucks
