team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Memphis Grizzlies,72,240.3,45.0,93.6,.481,13.8,37.5,.367,31.3,56.1,.557,18.6,23.6,.785,13.2,34.3,47.5,28.8,8.9,5.8,15.8,21.0,122.4
Cleveland Cavaliers,72,240.3,44.5,90.4,.493,15.8,41.2,.385,28.7,49.2,.583,17.3,22.1,.785,11.0,34.1,45.1,28.3,8.1,4.3,13.0,18.2,122.3
Denver Nuggets,73,241.7,45.5,90.0,.505,12.1,31.9,.380,33.4,58.2,.574,17.6,22.8,.772,11.4,34.2,45.6,31.0,8.1,4.8,14.3,17.8,120.7
Oklahoma City Thunder,72,240.3,44.4,92.4,.481,14.5,38.8,.372,30.0,53.6,.559,16.6,20.2,.820,10.7,34.2,44.9,26.8,10.4,5.8,11.9,20.0,119.8
Atlanta Hawks,72,241.4,43.1,92.0,.469,13.2,37.3,.355,29.9,54.7,.546,18.1,23.4,.774,12.0,32.6,44.6,29.4,9.8,5.3,15.6,19.0,117.6
Chicago Bulls,72,241.0,43.0,92.1,.467,15.6,42.5,.367,27.5,49.6,.554,15.6,19.4,.808,9.9,35.4,45.3,28.9,7.7,4.8,14.5,17.9,117.3
Boston Celtics,72,241.7,41.6,90.0,.463,17.8,48.2,.370,23.8,41.8,.570,15.6,19.5,.797,11.1,33.7,44.8,25.8,7.4,5.6,11.8,16.2,116.6
Indiana Pacers,71,241.8,43.4,88.8,.489,13.0,35.2,.368,30.4,53.5,.569,16.8,21.2,.791,8.9,32.3,41.3,29.1,8.5,5.2,13.5,19.0,116.6
New York Knicks,71,242.5,43.6,89.5,.487,12.6,34.1,.368,31.1,55.4,.561,16.7,20.9,.801,10.9,32.1,42.9,27.4,8.1,4.0,13.2,17.1,116.5
Sacramento Kings,72,242.8,43.1,90.5,.476,12.7,35.7,.355,30.4,54.8,.555,17.2,21.3,.805,11.0,33.2,44.2,26.8,7.7,4.5,13.4,18.9,116.0
Detroit Pistons,73,241.4,42.8,89.5,.478,12.7,35.1,.363,30.1,54.4,.553,17.1,22.0,.776,11.3,33.8,45.1,26.5,8.1,5.2,15.2,20.5,115.4
Dallas Mavericks,73,240.7,42.2,88.3,.478,12.8,34.9,.367,29.4,53.3,.552,17.8,22.9,.777,10.3,32.8,43.1,25.3,7.9,5.5,13.9,18.0,115.1
