team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Cleveland Cavaliers,72,17305,44.6,90.4,.493,15.9,41.2,.385,28.7,49.3,.583,17.3,22.1,.785,11.0,34.1,45.1,28.3,8.1,4.3,13.0,18.2,122.3
Boston Celtics,72,17405,43.0,92.9,.463,18.4,49.8,.370,24.5,43.1,.570,16.1,20.2,.797,11.4,34.8,46.2,26.7,7.6,5.7,12.2,16.7,120.4
Oklahoma City Thunder,72,17305,44.5,92.6,.481,14.5,38.9,.372,30.0,53.7,.559,16.6,20.2,.820,10.8,34.2,45.0,26.9,10.4,5.8,11.9,20.0,120.1
Denver Nuggets,73,17645,45.2,89.5,.505,12.0,31.7,.380,33.2,57.8,.574,17.5,22.7,.772,11.3,34.0,45.3,30.8,8.0,4.8,14.2,17.7,119.9
New York Knicks,71,17215,44.4,91.2,.487,12.8,34.8,.368,31.6,56.4,.561,17.0,21.3,.801,11.1,32.7,43.7,27.9,8.2,4.0,13.5,17.4,118.7
Memphis Grizzlies,72,17305,43.5,90.4,.481,13.3,36.2,.367,30.2,54.2,.557,17.9,22.8,.785,12.8,33.1,45.8,27.9,8.6,5.6,15.3,20.3,118.2
Phoenix Suns,72,17430,42.2,87.7,.481,14.7,38.4,.384,27.4,49.3,.556,17.8,21.9,.811,9.5,34.4,43.9,28.7,7.2,5.1,14.3,18.5,116.9
Sacramento Kings,72,17480,43.2,90.7,.476,12.7,35.8,.355,30.5,55.0,.555,17.2,21.4,.805,11.0,33.3,44.4,26.9,7.8,4.5,13.4,18.9,116.4
Indiana Pacers,71,17165,43.2,88.3,.489,12.9,35.0,.368,30.3,53.2,.569,16.7,21.1,.791,8.9,32.2,41.0,28.9,8.5,5.2,13.4,18.9,115.9
Minnesota Timberwolves,73,17620,41.4,89.0,.465,15.4,40.7,.378,26.0,48.4,.538,17.6,22.2,.793,11.1,33.6,44.7,26.5,8.4,4.9,14.8,18.4,115.7
Dallas Mavericks,73,17570,42.4,88.7,.478,12.9,35.1,.367,29.6,53.6,.552,17.9,23.1,.777,10.4,33.0,43.3,25.4,7.9,5.5,13.9,18.1,115.6
Los Angeles Lakers,71,17090,41.7,87.3,.478,13.1,36.6,.359,28.6,50.7,.563,18.5,23.7,.782,9.9,33.6,43.5,26.7,7.9,4.6,14.2,17.5,115.1
Detroit Pistons,73,17620,42.6,89.0,.478,12.7,34.9,.363,29.9,54.1,.553,17.0,21.9,.776,11.2,33.7,44.9,26.3,8.1,5.2,15.1,20.4,114.9
Milwaukee Bucks,71,17065,41.8,87.0,.480,14.1,37.0,.381,27.6,49.9,.554,17.3,23.0,.752,8.5,35.5,44.1,25.2,7.5,4.7,13.5,18.2,114.9
San Antonio Spurs,71,17090,42.1,90.3,.466,14.1,39.7,.356,28.0,50.5,.553,16.5,21.3,.775,11.2,32.9,44.1,29.2,8.4,5.9,14.0,16.7,114.8
Houston Rockets,73,17620,42.4,94.1,.451,12.5,36.1,.347,29.9,58.0,.515,17.3,23.4,.741,15.0,34.1,49.1,23.1,8.5,5.1,14.1,19.4,114.7
Golden State Warriors,72,17305,41.1,91.5,.449,15.4,42.5,.362,25.7,49.0,.525,16.5,21.9,.754,12.6,33.3,46.0,29.2,9.2,5.0,14.2,19.5,114.1
Los Angeles Clippers,71,17140,41.8,87.8,.476,12.5,34.3,.364,29.3,53.5,.548,17.7,22.2,.794,10.6,34.0,44.6,25.4,9.7,4.7,15.5,18.7,113.8
Atlanta Hawks,72,17380,41.7,88.9,.469,12.8,36.0,.355,28.9,52.9,.546,17.5,22.6,.774,11.6,31.5,43.1,28.5,9.5,5.1,15.1,18.4,113.7
Chicago Bulls,72,17355,41.7,89.3,.467,15.1,41.2,.367,26.6,48.1,.554,15.2,18.8,.808,9.6,34.3,43.9,28.0,7.4,4.6,14.1,17.4,113.7
Philadelphia 76ers,72,17405,40.5,89.0,.455,13.1,37.9,.346,27.4,51.1,.536,18.2,23.2,.785,10.4,29.7,40.1,23.5,9.6,4.4,13.8,19.7,112.3
Miami Heat,72,17505,40.8,88.6,.461,13.9,38.5,.362,26.9,50.1,.537,16.6,21.0,.792,9.6,34.4,44.0,26.9,8.2,3.9,14.3,16.1,112.2
Portland Trail Blazers,73,17595,40.9,90.6,.452,13.2,37.8,.348,27.7,52.7,.526,17.1,22.4,.766,13.1,31.7,44.9,24.0,8.2,5.4,16.1,19.3,112.1
Utah Jazz,73,17620,40.0,87.7,.457,13.9,39.2,.354,26.2,48.5,.539,17.4,22.6,.770,11.9,33.5,45.4,25.5,6.5,4.5,17.5,18.9,111.3
New Orleans Pelicans,73,17595,41.1,90.5,.454,12.3,35.0,.351,28.8,55.5,.519,16.7,22.1,.756,12.2,31.4,43.6,25.9,8.7,5.4,14.6,18.3,111.1
Toronto Raptors,72,17405,41.2,89.9,.458,11.5,33.1,.346,29.8,56.8,.524,16.3,21.8,.750,12.5,32.5,45.0,28.3,7.9,4.4,15.7,21.5,110.3
Brooklyn Nets,72,17380,39.1,89.2,.439,13.9,40.4,.345,25.2,48.8,.516,16.9,21.5,.788,11.5,31.2,42.7,25.9,8.1,4.6,15.6,21.3,109.1
Orlando Magic,73,17570,39.4,89.0,.442,11.4,36.6,.312,28.0,52.5,.533,18.8,24.3,.773,11.6,31.7,43.3,23.7,9.1,6.2,14.7,21.3,108.9
Charlotte Hornets,72,17355,39.3,91.5,.430,13.6,39.7,.343,25.7,51.8,.496,15.8,20.0,.788,12.7,33.3,46.0,24.9,7.8,4.7,15.7,19.5,107.9
Washington Wizards,71,17090,38.9,88.7,.438,13.0,38.7,.335,25.9,50.1,.518,16.1,20.6,.780,10.6,32.8,43.4,25.0,7.7,5.2,15.6,19.7,106.8
