round,matchup,series_stats_link,winner,loser,series_result
Finals,Dallas Mavericks over Miami Heat (4-2),/playoffs/2011-nba-finals-mavericks-vs-heat.html,Dallas Mavericks,Miami Heat,4-2
Eastern Conference Finals,Miami Heat over Chicago Bulls (4-1),/playoffs/2011-nba-eastern-conference-finals-heat-vs-bulls.html,Miami Heat,Chicago Bulls,4-1
Western Conference Finals,Dallas Mavericks over Oklahoma City Thunder (4-1),/playoffs/2011-nba-western-conference-finals-thunder-vs-mavericks.html,Dallas Mavericks,Oklahoma City Thunder,4-1
Eastern Conference Semifinals,Chicago Bulls over Atlanta Hawks (4-2),/playoffs/2011-nba-eastern-conference-semifinals-hawks-vs-bulls.html,Chicago Bulls,Atlanta Hawks,4-2
Eastern Conference Semifinals,Miami Heat over Boston Celtics (4-1),/playoffs/2011-nba-eastern-conference-semifinals-celtics-vs-heat.html,Miami Heat,Boston Celtics,4-1
Western Conference Semifinals,Dallas Mavericks over Los Angeles Lakers (4-0),/playoffs/2011-nba-western-conference-semifinals-mavericks-vs-lakers.html,Dallas Mavericks,Los Angeles Lakers,4-0
Western Conference Semifinals,Oklahoma City Thunder over Memphis Grizzlies (4-3),/playoffs/2011-nba-western-conference-semifinals-grizzlies-vs-thunder.html,Oklahoma City Thunder,Memphis Grizzlies,4-3
Eastern Conference First Round,Atlanta Hawks over Orlando Magic (4-2),/playoffs/2011-nba-eastern-conference-first-round-hawks-vs-magic.html,Atlanta Hawks,Orlando Magic,4-2
Eastern Conference First Round,Boston Celtics over New York Knicks (4-0),/playoffs/2011-nba-eastern-conference-first-round-knicks-vs-celtics.html,Boston Celtics,New York Knicks,4-0
Eastern Conference First Round,Chicago Bulls over Indiana Pacers (4-1),/playoffs/2011-nba-eastern-conference-first-round-pacers-vs-bulls.html,Chicago Bulls,Indiana Pacers,4-1
Eastern Conference First Round,Miami Heat over Philadelphia 76ers (4-1),/playoffs/2011-nba-eastern-conference-first-round-76ers-vs-heat.html,Miami Heat,Philadelphia 76ers,4-1
Western Conference First Round,Dallas Mavericks over Portland Trail Blazers (4-2),/playoffs/2011-nba-western-conference-first-round-trail-blazers-vs-mavericks.html,Dallas Mavericks,Portland Trail Blazers,4-2
Western Conference First Round,Los Angeles Lakers over New Orleans Hornets (4-2),/playoffs/2011-nba-western-conference-first-round-hornets-vs-lakers.html,Los Angeles Lakers,New Orleans Hornets,4-2
Western Conference First Round,Memphis Grizzlies over San Antonio Spurs (4-2),/playoffs/2011-nba-western-conference-first-round-grizzlies-vs-spurs.html,Memphis Grizzlies,San Antonio Spurs,4-2
Western Conference First Round,Oklahoma City Thunder over Denver Nuggets (4-1),/playoffs/2011-nba-western-conference-first-round-nuggets-vs-thunder.html,Oklahoma City Thunder,Denver Nuggets,4-1
