round,matchup,series_stats_link
Finals,"Golden State Warriors 
over 
Cleveland Cavaliers
 (4-2)",/playoffs/2015-nba-finals-cavaliers-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Finals,"Cleveland Cavaliers 
over 
Atlanta Hawks
 (4-0)",/playoffs/2015-nba-eastern-conference-finals-cavaliers-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference Finals,"Golden State Warriors 
over 
Houston Rockets
 (4-1)",/playoffs/2015-nba-western-conference-finals-rockets-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Eastern Conference Semifinals,"Atlanta Hawks 
over 
Washington Wizards
 (4-2)",/playoffs/2015-nba-eastern-conference-semifinals-wizards-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference Semifinals,"Cleveland Cavaliers 
over 
Chicago Bulls
 (4-2)",/playoffs/2015-nba-eastern-conference-semifinals-bulls-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Semifinals,"Golden State Warriors 
over 
Memphis Grizzlies
 (4-2)",/playoffs/2015-nba-western-conference-semifinals-grizzlies-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Western Conference Semifinals,"Houston Rockets 
over 
Los Angeles Clippers
 (4-3)",/playoffs/2015-nba-western-conference-semifinals-clippers-vs-rockets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Eastern Conference First Round,"Atlanta Hawks 
over 
Brooklyn Nets
 (4-2)",/playoffs/2015-nba-eastern-conference-first-round-nets-vs-hawks.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Chicago Bulls 
over 
Milwaukee Bucks
 (4-2)",/playoffs/2015-nba-eastern-conference-first-round-bucks-vs-bulls.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Eastern Conference First Round,"Cleveland Cavaliers 
over 
Boston Celtics
 (4-0)",/playoffs/2015-nba-eastern-conference-first-round-celtics-vs-cavaliers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Eastern Conference First Round,"Washington Wizards 
over 
Toronto Raptors
 (4-0)",/playoffs/2015-nba-eastern-conference-first-round-wizards-vs-raptors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference First Round,"Golden State Warriors 
over 
New Orleans Pelicans
 (4-0)",/playoffs/2015-nba-western-conference-first-round-pelicans-vs-warriors.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Western Conference First Round,"Houston Rockets 
over 
Dallas Mavericks
 (4-1)",/playoffs/2015-nba-western-conference-first-round-mavericks-vs-rockets.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Western Conference First Round,"Los Angeles Clippers 
over 
San Antonio Spurs
 (4-3)",/playoffs/2015-nba-western-conference-first-round-spurs-vs-clippers.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
Game 6,,
Game 7,,
Western Conference First Round,"Memphis Grizzlies 
over 
Portland Trail Blazers
 (4-1)",/playoffs/2015-nba-western-conference-first-round-trail-blazers-vs-grizzlies.html
Game 1,,
Game 2,,
Game 3,,
Game 4,,
Game 5,,
