team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,82,19730,.466,12.7,,.679,.291,.157,.080,.151,.321,,.506,.635,.393,.386,.441,.380,,.591,.918,,.038,225,,.249
Boston Celtics,82,19880,.443,12.8,,.720,.280,.144,.103,.193,.280,,.488,.621,.384,.407,.416,.327,,.565,.877,,.041,267,,.228
Brooklyn Nets,82,19930,.451,11.9,,.760,.269,.213,.115,.163,.240,,.489,.615,.444,.408,.397,.331,,.488,.887,,.040,243,,.218
Chicago Bulls,82,19880,.442,12.2,,.731,.312,.156,.100,.163,.269,,.474,.586,.392,.372,.401,.353,,.525,.842,,.038,237,,.261
Charlotte Hornets,82,19905,.420,12.8,,.774,.263,.153,.124,.234,.226,,.450,.572,.382,.389,.390,.318,,.521,.791,,.032,202,,.220
Cleveland Cavaliers,82,19780,.458,12.8,,.666,.295,.155,.092,.124,.334,,.504,.647,.360,.387,.432,.367,,.509,.803,,.064,393,,.215
Dallas Mavericks,82,19880,.463,12.8,,.704,.288,.140,.094,.182,.296,,.509,.659,.382,.420,.417,.352,,.482,.857,,.057,364,,.220
Denver Nuggets,82,19880,.433,12.3,,.716,.299,.176,.090,.152,.284,,.476,.622,.351,.396,.379,.325,,.506,.839,,.057,358,,.224
Detroit Pistons,82,19830,.432,11.8,,.710,.324,.192,.065,.128,.290,,.468,.600,.329,.382,.386,.344,,.512,.815,,.043,273,,.247
Golden State Warriors,82,19730,.478,13.1,,.689,.288,.143,.104,.154,.311,,.514,.673,.372,.442,.397,.398,,.602,.821,,.062,396,,.206
Houston Rockets,82,19805,.444,12.7,,.608,.310,.183,.047,.068,.392,,.506,.635,.392,.351,.328,.348,,.496,.833,,.057,361,,.252
Indiana Pacers,82,19855,.439,13.0,,.745,.245,.172,.105,.222,.255,,.469,.604,.399,.378,.418,.352,,.516,.858,,.027,155,,.203
Los Angeles Clippers,82,19730,.473,14.1,,.678,.242,.119,.097,.219,.322,,.519,.680,.408,.437,.437,.376,,.563,.820,,.063,386,,.166
Los Angeles Lakers,82,19930,.435,12.5,,.780,.265,.150,.132,.233,.220,,.461,.651,.348,.374,.366,.344,,.527,.726,,.043,276,,.205
Memphis Grizzlies,82,19905,.458,11.0,,.816,.308,.199,.129,.179,.184,,.485,.621,.405,.420,.386,.339,,.528,.865,,.029,173,,.263
Miami Heat,82,19730,.456,12.4,,.738,.295,.142,.118,.184,.262,,.499,.629,.438,.424,.385,.335,,.481,.905,,.047,277,,.238
Milwaukee Bucks,82,19930,.459,11.4,,.777,.338,.136,.110,.193,.223,,.486,.608,.352,.438,.394,.363,,.571,.888,,.052,320,,.259
Minnesota Timberwolves,82,19805,.438,11.6,,.821,.287,.176,.122,.235,.179,,.461,.622,.361,.410,.365,.332,,.557,.825,,.054,332,,.217
New Orleans Pelicans,82,19780,.457,11.4,,.767,.348,.152,.098,.169,.233,,.484,.591,.383,.406,.398,.370,,.513,.875,,.050,313,,.286
New York Knicks,82,19855,.428,13.3,,.760,.241,.147,.126,.247,.240,,.454,.587,.363,.393,.410,.347,,.550,.836,,.035,213,,.198
Oklahoma City Thunder,82,19830,.447,11.9,,.738,.304,.156,.113,.165,.262,,.486,.615,.385,.436,.377,.339,,.461,.797,,.051,328,,.233
Orlando Magic,82,19755,.453,11.5,,.765,.317,.182,.094,.172,.235,,.486,.611,.386,.383,.415,.347,,.480,.868,,.052,315,,.241
Philadelphia 76ers,82,19805,.408,12.2,,.681,.321,.174,.069,.118,.319,,.449,.593,.316,.326,.322,.320,,.520,.873,,.051,318,,.257
Phoenix Suns,82,19880,.452,12.6,,.709,.294,.138,.124,.153,.291,,.497,.643,.374,.429,.383,.341,,.443,.801,,.045,291,,.237
Portland Trail Blazers,82,19855,.450,13.7,,.684,.248,.134,.112,.190,.316,,.491,.652,.411,.402,.393,.362,,.495,.776,,.034,227,,.193
Sacramento Kings,82,19855,.455,11.0,,.796,.303,.219,.094,.181,.204,,.484,.651,.356,.416,.395,.341,,.503,.837,,.066,391,,.239
San Antonio Spurs,82,19955,.468,12.1,,.731,.278,.202,.103,.148,.269,,.505,.634,.462,.404,.395,.367,,.544,.919,,.028,172,,.239
Toronto Raptors,82,19855,.455,12.7,,.698,.254,.195,.104,.145,.302,,.499,.644,.446,.393,.395,.352,,.476,.781,,.042,259,,.193
Utah Jazz,82,19705,.447,12.2,,.726,.299,.170,.096,.161,.274,,.486,.669,.333,.395,.363,.343,,.473,.900,,.066,401,,.214
Washington Wizards,82,19955,.462,12.1,,.797,.287,.142,.138,.230,.203,,.488,.658,.385,.409,.389,.360,,.578,.889,,.050,327,,.220
